Mfr Name,Division,Carline,Average City CO2,Average City Fuel Efficiency
Ford Motor Company,Ford,F150 4WD BASE PAYLOAD LT TIRE,516,17
Ford Motor Company,Ford,F150 4WD FFV BASE PAYLOAD LT TIRE,598,15
Ford Motor Company,Ford,F150 5.0L 2WD FFV GVWR>7599 LBS,633,14
Ford Motor Company,Ford,F150 5.0L 4WD FFV GVWR>7599 LBS,633,14
Ford Motor Company,Ford,F150 PICKUP 2WD,472,19
Ford Motor Company,Ford,F150 PICKUP 2WD FFV,540,17
Ford Motor Company,Ford,F150 PICKUP 4WD,506,18
Ford Motor Company,Ford,F150 PICKUP 4WD FFV,561,16
Ford Motor Company,Ford,F150 RAPTOR 4WD,587,15
Ford Motor Company,Ford,Fiesta FWD,327,27
Ford Motor Company,Ford,Fiesta SFE FWD,285,31
Ford Motor Company,Ford,Fiesta ST FWD,341,26
Ford Motor Company,Ford,FLEX AWD,567,16
Ford Motor Company,Ford,Flex FWD,555,16
Ford Motor Company,Ford,FOCUS FWD,332,27
Ford Motor Company,Ford,Focus FWD FFV,347,26
Ford Motor Company,Ford,FOCUS RS AWD,459,19
Ford Motor Company,Ford,Focus ST FWD,404,22
Ford Motor Company,Ford,Ford GT,779,11
Ford Motor Company,Ford,FUSION AWD,485,19
Ford Motor Company,Ford,FUSION FWD,409,22
Ford Motor Company,Ford,FUSION HYBRID FWD,205,43
Ford Motor Company,Ford,MUSTANG,503,18
Ford Motor Company,Ford,MUSTANG CONVERTIBLE,519,18
Ford Motor Company,Ford,MUSTANG PERFORMANCE PACKAGE,501,18
Ford Motor Company,Ford,SHELBY GT350 MUSTANG,649,14
Ford Motor Company,Ford,TAURUS AWD,534,17
Ford Motor Company,Ford,TAURUS AWD FFV,513,17
Ford Motor Company,Ford,TAURUS FWD,469,19
Ford Motor Company,Ford,TAURUS FWD FFV,493,18
Ford Motor Company,Ford,Transit Connect Van 2WD,446,20
Ford Motor Company,Ford,TRANSIT CONNECT VAN FFV,445,20
Ford Motor Company,Ford,TRANSIT CONNECT WAGON FFV,457,19
Ford Motor Company,Ford,TRANSIT CONNECT WAGON FWD,467,19
Ford Motor Company,Ford,TRANSIT CONNECT WAGON LWB FFV,467,19
Ford Motor Company,Ford,Transit Connect Wagon LWB FWD,467,19
Ford Motor Company,Ford,Transit T150 Wagon,611,15
Ford Motor Company,Ford,TRANSIT T150 WAGON FFV,630,14
Ford Motor Company,Lincoln,CONTINENTAL AWD,540,16
Ford Motor Company,Lincoln,CONTINENTAL FWD,510,18
Ford Motor Company,Lincoln,MKC  AWD,475,19
Ford Motor Company,Lincoln,MKC  FWD,423,21
Ford Motor Company,Lincoln,MKT AWD,592,15
Ford Motor Company,Lincoln,MKT FWD,555,16
Ford Motor Company,Lincoln,MKT LIVERY AWD,554,16
Ford Motor Company,Lincoln,MKX AWD,529,17
Ford Motor Company,Lincoln,MKX FWD,508,18
Ford Motor Company,Lincoln,MKZ AWD,488,19
Ford Motor Company,Lincoln,MKZ FWD,465,20
Ford Motor Company,Lincoln,MKZ HYBRID FWD,216,41
Ford Motor Company,Lincoln,Navigator 2WD,579,15
Ford Motor Company,Lincoln,Navigator 4WD,611,15
Ford Motor Company,Lincoln,Navigator L 2WD,602,15
Ford Motor Company,Lincoln,Navigator L 4WD,609,15
General Motors,Buick,CASCADA,444,20
General Motors,Buick,ENCLAVE AWD,606,15
General Motors,Buick,ENCLAVE FWD,594,15
General Motors,Buick,ENCORE,336,26
General Motors,Buick,ENCORE AWD,354,25
General Motors,Buick,ENVISION AWD,432,21
General Motors,Buick,ENVISION FWD,397,22
General Motors,Buick,LACROSSE,422,21
General Motors,Buick,LACROSSE AWD,437,20
General Motors,Buick,REGAL,446,20
General Motors,Buick,REGAL AWD,459,19
General Motors,Buick,VERANO,427,21
General Motors,Cadillac,ATS,420,21
General Motors,Cadillac,ATS AWD,433,21
General Motors,Cadillac,ATS-V,534,17
General Motors,Cadillac,CT6,412,22
General Motors,Cadillac,CT6 AWD,487,18
General Motors,Cadillac,CTS,472,19
General Motors,Cadillac,CTS AWD,441,20
