Greenland,GRL,553.717,531.715,638.058,660.06,575.719,663.727,707.731,568.385,568.385,0
Guatemala,GTM,5086.129,9915.568,12625.481,11430.039,11851.744,11664.727,11837.076,11972.755,13597.236,8
Guam,GUM,-1,-1,-1,-1,-1,-1,-1,-1,-1,2
Guyana,GUY,1133.103,1609.813,1562.142,1558.475,1565.809,1719.823,1782.162,1994.848,1936.176,9
"Hong Kong SAR, China",HKG,27333.818,40439.676,43721.641,43978.331,42152.165,40758.705,43794.981,43446.616,44994.09,2
Honduras,HND,2592.569,5031.124,8778.798,8672.455,7873.049,7975.725,8954.814,8984.15,9064.824,8
Croatia,HRV,-1,19438.767,23967.512,22750.068,21297.936,20443.525,20058.49,18162.651,17711.61,0
Haiti,HTI,993.757,1367.791,2390.884,2398.218,2269.873,2126.86,2218.535,2317.544,2405.552,7
Hungary,HUN,69614.328,55811.74,56035.427,54843.652,48587.75,50215.898,47762.675,44521.047,41440.767,0
Indonesia,IDN,149565.929,263418.945,375544.804,416560.199,446409.579,428760.308,573379.454,599539.832,479364.908,2
Isle of Man,IMY,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
India,IND,619154.615,1031853.463,1407607.286,1568379.567,1738645.711,1719690.988,1846763.539,2018503.817,2034752.294,2
Ireland,IRL,31242.84,41228.081,44638.391,42999.242,40377.337,40241.658,35826.59,35720.247,34964.845,0
"Iran, Islamic Rep.",IRN,211010.181,372479.192,560900.653,581945.566,591432.095,605216.348,619165.616,643862.861,616976.417,4
Iraq,IRQ,52555.444,72445.252,62155.65,93149.134,104546.17,112195.532,133929.841,153012.909,167812.921,4
Iceland,ISL,1998.515,2163.53,2310.21,2119.526,2053.52,1961.845,1881.171,1870.17,1969.179,0
Israel,ISR,36295.966,60259.811,63072.4,68264.872,64469.527,68880.928,69130.284,75529.199,71073.794,4
Italy,ITA,417550.289,450564.29,462676.391,447186.983,401591.505,405361.181,397994.178,369446.583,344767.673,0
Jamaica,JAM,7532.018,10307.937,9651.544,10208.928,7741.037,7256.993,7722.702,7326.666,7726.369,7
Jordan,JOR,10403.279,15507.743,22035.003,21349.274,21891.99,21180.592,21668.303,24858.593,24807.255,4
Japan,JPN,1096179.977,1220527.947,1252229.162,1210135.669,1103693.66,1171841.188,1191056.268,1229574.436,1243384.358,2
Kazakhstan,KAZ,-1,118099.402,222348.545,186195.592,165906.081,246620.418,259121.221,244720.912,262901.898,1
Kenya,KEN,5823.196,10417.947,9831.227,10241.931,12350.456,12174.44,13457.89,12515.471,13300.209,5
Kyrgyz Republic,KGZ,-1,4635.088,5672.849,7660.363,6791.284,6384.247,7656.696,10120.92,9842.228,1
